|∑|,|s1|,|s2|,Fração de operações conservativas,CG_Best_objective,CG_Best_bound,CG_Gap,CG_Tempo_estruturas,CG_Tempo_modelo,CG_Tempo_total,CS_Best_objective,CS_Best_bound,CS_Gap,CS_Tempo_estruturas,CS_Tempo_modelo,CS_Tempo_total,CB_Best_objective,CB_Best_bound,CB_Gap,CB_Tempo_estruturas,CB_Tempo_modelo,CB_Tempo_total
15,10,10,2,1.100000000000e+01,1.100000000000e+01,0.0000%,0.009754,0.008107,0.017861,1.100000000000e+01,1.100000000000e+01,0.0000%,0.004579,0.003942,0.008521,1.100000000000e+01,1.100000000000e+01,0.0000%,0.003332,0.006572,0.009905
15,10,10,3,9.000000000000e+00,9.000000000000e+00,0.0000%,0.010665,0.011763,0.022429,9.000000000000e+00,9.000000000000e+00,0.0000%,0.005303,0.006279,0.011582,9.000000000000e+00,9.000000000000e+00,0.0000%,0.003994,0.008303,0.012297
15,10,10,4,7.000000000000e+00,7.000000000000e+00,0.0000%,0.061912,0.018642,0.080553,7.000000000000e+00,7.000000000000e+00,0.0000%,0.052771,0.011982,0.064752,7.000000000000e+00,7.000000000000e+00,0.0000%,0.052105,0.011373,0.063478
15,10,10,5,9.000000000000e+00,9.000000000000e+00,0.0000%,0.012278,0.014893,0.027170,9.000000000000e+00,9.000000000000e+00,0.0000%,0.006862,0.010357,0.017220,9.000000000000e+00,9.000000000000e+00,0.0000%,0.006308,0.009487,0.015795
5,10,10,0.6,8.000000000000e+00,8.000000000000e+00,0.0000%,0.006392,0.007854,0.014246,8.000000000000e+00,8.000000000000e+00,0.0000%,0.003034,0.004517,0.007551,8.000000000000e+00,8.000000000000e+00,0.0000%,0.002222,0.004627,0.006849
5,10,10,0.8,8.000000000000e+00,8.000000000000e+00,0.0000%,0.006455,0.006589,0.013045,8.000000000000e+00,8.000000000000e+00,0.0000%,0.003055,0.002955,0.006010,8.000000000000e+00,8.000000000000e+00,0.0000%,0.002209,0.003268,0.005477
5,10,10,0.6,6.000000000000e+00,6.000000000000e+00,0.0000%,0.007207,0.008087,0.015293,6.000000000000e+00,6.000000000000e+00,0.0000%,0.004266,0.005266,0.009532,6.000000000000e+00,6.000000000000e+00,0.0000%,0.002791,0.006267,0.009058
5,10,10,0.8,9.000000000000e+00,9.000000000000e+00,0.0000%,0.006303,0.007796,0.014100,9.000000000000e+00,9.000000000000e+00,0.0000%,0.002820,0.005194,0.008014,9.000000000000e+00,9.000000000000e+00,0.0000%,0.002372,0.003824,0.006196
5,10,10,0.6,6.000000000000e+00,6.000000000000e+00,0.0000%,0.007455,0.009363,0.016818,6.000000000000e+00,6.000000000000e+00,0.0000%,0.004425,0.005491,0.009916,6.000000000000e+00,6.000000000000e+00,0.0000%,0.002845,0.005921,0.008766
5,10,10,0.8,6.000000000000e+00,6.000000000000e+00,0.0000%,0.007783,0.008069,0.015852,6.000000000000e+00,6.000000000000e+00,0.0000%,0.005016,0.006172,0.011187,6.000000000000e+00,6.000000000000e+00,0.0000%,0.002928,0.007304,0.010232
5,10,10,0.6,5.000000000000e+00,5.000000000000e+00,0.0000%,0.007337,0.008118,0.015454,5.000000000000e+00,5.000000000000e+00,0.0000%,0.004026,0.004802,0.008829,5.000000000000e+00,5.000000000000e+00,0.0000%,0.002839,0.005419,0.008257
5,10,10,0.8,4.000000000000e+00,4.000000000000e+00,0.0000%,0.007674,0.008564,0.016239,4.000000000000e+00,4.000000000000e+00,0.0000%,0.004469,0.004750,0.009220,4.000000000000e+00,4.000000000000e+00,0.0000%,0.003102,0.007303,0.010404
5,10,10,0.6,5.000000000000e+00,5.000000000000e+00,0.0000%,0.008017,0.010666,0.018683,5.000000000000e+00,5.000000000000e+00,0.0000%,0.005172,0.006281,0.011452,5.000000000000e+00,5.000000000000e+00,0.0000%,0.003202,0.005130,0.008332
5,10,10,0.8,5.000000000000e+00,5.000000000000e+00,0.0000%,0.007565,0.008849,0.016413,5.000000000000e+00,5.000000000000e+00,0.0000%,0.004569,0.008399,0.012967,5.000000000000e+00,5.000000000000e+00,0.0000%,0.003128,0.008994,0.012122
1000,1000,1000,Random,6.470000000000e+02,6.420000000000e+02,0.7728%,2179.149874,5782.907922,N/A,,,,,,,,,,,,
1000,1000,1000,Random,6.430000000000e+02,6.350000000000e+02,1.2442%,2181.349783,5791.167410,N/A,,,,,,,,,,,,
100,120,120,1,6.900000000000e+01,6.900000000000e+01,0.0000%,1.301119,0.236597,1.537716,6.900000000000e+01,6.900000000000e+01,0.0000%,0.184673,0.096309,0.280983,6.900000000000e+01,6.900000000000e+01,0.0000%,0.191539,0.174771,0.366310
100,120,120,2,8.500000000000e+01,8.500000000000e+01,0.0000%,1.628514,0.071247,1.699761,8.500000000000e+01,8.500000000000e+01,0.0000%,0.166865,0.036528,0.203393,8.500000000000e+01,8.500000000000e+01,0.0000%,0.177091,0.147675,0.324765
